users,event_type,country_code,no_categories,os,os_type,no_events,no_features
4,impbeacon,A1,24,"{""type"":""win"",""ver"":5}",win,1636,7407
2,impbeacon,A2,8,"{""type"":""win"",""ver"":4}",win,85,347
1,impbeacon,AD,5,"{""type"":""win"",""ver"":4}",win,8,33
3,impbeacon,AF,18,"{""type"":""win"",""ver"":5}",win,533,2456
1,impbeacon,AG,5,"{""type"":""win"",""ver"":4}",win,9,33
7,impbeacon,AL,17,"{""type"":""win"",""ver"":5}",win,844,3752
5,impbeacon,AM,40,"{""type"":""win"",""ver"":4}",win,4033,16502
4,impbeacon,AO,18,"{""type"":""win"",""ver"":5}",win,383,1726
791,impbeacon,AR,139,"{""type"":""win"",""ver"":5}",win,235339,1043771
14,impbeacon,AU,28,"{""type"":""win"",""ver"":5}",win,787,1353
43,impbeacon,AZ,45,NULL,NULL,4270,53
4,impbeacon,BB,14,"{""type"":""win"",""ver"":5}",win,295,1232
47,impbeacon,BE,46,"{""type"":""win"",""ver"":5}",win,3081,13291
1,impbeacon,BF,2,"{""type"":""win"",""ver"":1}",win,12,58
3,impbeacon,BF,16,"{""type"":""win"",""ver"":4}",win,352,1469
2,impbeacon,BG,8,NULL,NULL,71,0
5,impbeacon,BH,20,"{""type"":""win"",""ver"":5}",win,618,2563
13,impbeacon,BO,30,"{""type"":""win"",""ver"":4}",win,1941,9165
2227,impbeacon,BR,155,"{""type"":""win"",""ver"":1}",win,455914,1947700
49339,impbeacon,BR,205,"{""type"":""win"",""ver"":4}",win,8654494,37357517
1,impbeacon,BT,34,"{""type"":""win"",""ver"":5}",win,1380,5714
3,impbeacon,BW,20,"{""type"":""win"",""ver"":5}",win,380,1656
1,impbeacon,BZ,3,"{""type"":""win"",""ver"":5}",win,7,34
37,impbeacon,CA,60,"{""type"":""win"",""ver"":5}",win,7739,33545
1,impbeacon,CD,4,"{""type"":""win"",""ver"":5}",win,12,54
1,impbeacon,CG,15,"{""type"":""win"",""ver"":5}",win,282,1171
2,impbeacon,CH,19,"{""type"":""win"",""ver"":1}",win,583,2395
41,impbeacon,CH,58,"{""type"":""win"",""ver"":4}",win,6908,40754
5,impbeacon,CM,8,"{""type"":""win"",""ver"":5}",win,203,954
9,impbeacon,CN,20,"{""type"":""win"",""ver"":4}",win,1097,4408
6,impbeacon,CO,22,"{""type"":""win"",""ver"":3}",win,176,734
1,impbeacon,CV,4,"{""type"":""win"",""ver"":5}",win,25,120
2,impbeacon,CW,14,"{""type"":""win"",""ver"":4}",win,219,873
5,impbeacon,CY,33,"{""type"":""win"",""ver"":5}",win,3752,16161
3,impbeacon,CZ,10,"{""type"":""win"",""ver"":1}",win,331,1331
37,impbeacon,CZ,47,"{""type"":""win"",""ver"":4}",win,7034,28890
2,impbeacon,DE,1,NULL,NULL,3,15
457,impbeacon,DE,102,"{""type"":""win"",""ver"":3}",win,44862,185478
1,impbeacon,DE,1,"{""type"":""win"",""ver"":6}",win,3,15
4,impbeacon,DJ,19,"{""type"":""win"",""ver"":4}",win,336,1407
5,impbeacon,DO,19,"{""type"":""win"",""ver"":5}",win,307,1316
5,impbeacon,DZ,37,NULL,NULL,4357,0
3,impbeacon,DZ,3,"{""type"":""win"",""ver"":3}",win,27,116
2,impbeacon,EC,21,"{""type"":""win"",""ver"":1}",win,460,2074
39,impbeacon,EC,77,"{""type"":""win"",""ver"":4}",win,23212,104497
5,impbeacon,EE,31,"{""type"":""win"",""ver"":5}",win,3805,16623
5,impbeacon,EG,10,NULL,NULL,136,0
1,impbeacon,EG,6,"{""type"":""win"",""ver"":3}",win,42,180
1,impbeacon,ES,1,NULL,NULL,1,5
796,impbeacon,ES,127,"{""type"":""win"",""ver"":3}",win,116181,477138
1,impbeacon,ES,9,"{""type"":""win"",""ver"":6}",win,31,129
1,impbeacon,ET,10,"{""type"":""win"",""ver"":5}",win,822,3315
11,impbeacon,EU,27,"{""type"":""win"",""ver"":4}",win,561,2287
1,impbeacon,FI,2,"{""type"":""win"",""ver"":3}",win,14,0
3,impbeacon,FJ,24,"{""type"":""win"",""ver"":5}",win,1550,7096
5,impbeacon,FR,4,NULL,NULL,16,37
1822,impbeacon,FR,181,"{""type"":""win"",""ver"":3}",win,358226,1413317
3,impbeacon,FR,5,"{""type"":""win"",""ver"":6}",win,55,225
2,impbeacon,GA,18,"{""type"":""win"",""ver"":4}",win,343,1503
2,impbeacon,GB,10,NULL,NULL,53,638
389,impbeacon,GB,111,"{""type"":""win"",""ver"":3}",win,31150,109897
1,impbeacon,GB,1,"{""type"":""win"",""ver"":6}",win,1,5
1,impbeacon,GD,14,"{""type"":""win"",""ver"":4}",win,370,1510
